stim,id,age,AUC_sal,AUC_dist,age_group,precision,watched
Science,69,551,0.65316,0.67444,1.5-2 y,1.535714286,2
Plane,69,551,0.54304,0.50452,1.5-2 y,1.535714286,2
Dogs,69,551,0.59936,0.59895,1.5-2 y,1.535714286,2
Feist,70,2085,0.6141,0.67261,4-6 y,1.571428571,2
Pentatonix,70,2085,0.57621,0.64603,4-6 y,1.571428571,2
Science,70,2085,0.56591,0.51464,4-6 y,1.571428571,2
Plane,70,2085,0.54098,0.51521,4-6 y,1.571428571,2
Dogs,70,2085,0.58416,0.54104,4-6 y,1.571428571,2
Feist,71,1504,0.62589,0.68681,4-6 y,1.728571429,2
Pentatonix,71,1504,0.57362,0.63619,4-6 y,1.728571429,2
Science,71,1504,0.63785,0.60971,4-6 y,1.728571429,2
Plane,71,1504,0.55935,0.57626,4-6 y,1.728571429,2
Dogs,71,1504,0.62881,0.5702,4-6 y,1.728571429,2
Feist,72,826,0.58049,0.62247,2-4 y,1.942857143,2
Pentatonix,72,826,0.56833,0.60797,2-4 y,1.942857143,2
Science,72,826,0.61234,0.62913,2-4 y,1.942857143,2
Plane,72,826,0.63492,0.6632,2-4 y,1.942857143,3
Dogs,72,826,0.56631,0.52865,2-4 y,1.942857143,2
Feist,73,1590,0.58766,0.71148,4-6 y,1.507142857,2
Pentatonix,73,1590,0.60114,0.64138,4-6 y,1.507142857,1
Science,73,1590,0.61051,0.51855,4-6 y,1.507142857,2
Plane,73,1590,0.53381,0.51305,4-6 y,1.507142857,1
Dogs,73,1590,0.59536,0.53393,4-6 y,1.507142857,3
Feist,74,610,0.61429,0.59013,1.5-2 y,1.81,1
Plane,74,610,0.51155,0.5823,1.5-2 y,1.81,2
Dogs,74,610,0.65744,0.64679,1.5-2 y,1.81,2
Feist,76,2076,0.58838,0.71585,4-6 y,1.178571429,2
Pentatonix,76,2076,0.56239,0.68452,4-6 y,1.178571429,2
Science,76,2076,0.63226,0.63417,4-6 y,1.178571429,2
Plane,76,2076,0.56535,0.59899,4-6 y,1.178571429,2
Dogs,76,2076,0.56153,0.54234,4-6 y,1.178571429,2
Feist,77,2401,0.61965,0.70777,4-6 y,1.514285714,2
Pentatonix,77,2401,0.55287,0.62583,4-6 y,1.514285714,2
Science,77,2401,0.54644,0.54056,4-6 y,1.514285714,2
Plane,77,2401,0.59503,0.49934,4-6 y,1.514285714,2
Dogs,77,2401,0.57831,0.54442,4-6 y,1.514285714,2
Feist,78,198,0.50675,0.44941,.5-1 y,3.45,2
Pentatonix,78,198,0.57668,0.57997,.5-1 y,3.45,2
Science,78,198,0.75457,0.8213,.5-1 y,3.45,2
Plane,78,198,0.61133,0.55452,.5-1 y,3.45,2
Dogs,78,198,0.49372,0.48506,.5-1 y,3.45,2
Feist,79,226,0.60023,0.59731,.5-1 y,4.89,2
Pentatonix,79,226,0.60949,0.64914,.5-1 y,4.89,2
Feist,80,922,0.57058,0.61829,2-4 y,1.464285714,2
Pentatonix,80,922,0.57691,0.6911,2-4 y,1.464285714,2
Science,80,922,0.62876,0.60512,2-4 y,1.464285714,2
Plane,80,922,0.57475,0.59922,2-4 y,1.464285714,2
Dogs,80,922,0.56517,0.5742,2-4 y,1.464285714,2
Feist,81,285,0.61159,0.58766,.5-1 y,2.68,2
Pentatonix,81,285,0.58287,0.48083,.5-1 y,2.68,1
Plane,81,285,0.53034,0.54342,.5-1 y,2.68,2
Dogs,81,285,0.56804,0.56273,.5-1 y,2.68,2
Feist,82,240,0.6251,0.66276,.5-1 y,2.141666667,2
Pentatonix,82,240,0.55984,0.53584,.5-1 y,2.141666667,2
Science,82,240,0.73083,0.80419,.5-1 y,2.141666667,2
Plane,82,240,0.62366,0.62543,.5-1 y,2.141666667,2
Dogs,82,240,0.58758,0.46164,.5-1 y,2.141666667,2
Feist,83,886,0.55798,0.63986,2-4 y,1.864285714,1
Pentatonix,83,886,0.51111,0.60493,2-4 y,1.864285714,1
Science,83,886,0.39669,0.48342,2-4 y,1.864285714,2
Plane,83,886,0.48389,0.45750999999999997,2-4 y,1.864285714,2
Dogs,83,886,0.55427,0.55365,2-4 y,1.864285714,2
Feist,84,1757,0.57606,0.7711,4-6 y,2.635714286,1
Pentatonix,84,1757,0.54066,0.63486,4-6 y,2.635714286,2
Science,84,1757,0.65263,0.64523,4-6 y,2.635714286,2
Plane,84,1757,0.58816,0.57367,4-6 y,2.635714286,2
Dogs,84,1757,0.55541,0.5809,4-6 y,2.635714286,2
Feist,85,958,0.57967,0.68111,2-4 y,1.692857143,2
Pentatonix,85,958,0.54619,0.63402,2-4 y,1.692857143,2
Science,85,958,0.61108,0.66306,2-4 y,1.692857143,2
Plane,85,958,0.5791,0.56967,2-4 y,1.692857143,2
